Date,Type,Link
2022-08-24 15:10:30,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6968053657904828417
2022-08-24 03:18:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967846099621470208
2022-08-24 03:17:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967357671200997376
2022-08-21 11:28:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6966663149714362368
2022-08-20 05:37:55,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6966429854883852288
2022-08-17 15:22:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6965546572998676480
2022-08-17 15:17:30,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6965587222821523456
2022-08-17 05:55:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6964431153508298752
2022-08-17 05:52:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6964813432772542464
2022-08-09 15:47:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6962386688820097024
2022-08-05 16:40:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6961340683232133120
2022-08-03 15:59:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6960517892001939456
2022-07-29 15:05:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958747358683648001
2022-07-28 14:58:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958054641192288256
2022-07-27 08:58:51,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6957922849646919680
2022-07-22 17:10:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6956216313748840448
2022-07-20 13:24:05,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955363204789067776
2022-07-20 06:02:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6954418741510123520
2022-07-20 05:58:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6952954275064864768
2022-07-13 11:25:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6952900578033221632
2022-07-13 06:51:49,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6950345103194370048
2022-07-13 06:46:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6952711197372608512
2022-07-07 14:40:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6949940131914993664
2022-07-03 14:38:36,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6947486020166696960
2022-07-01 13:50:01,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6947418826246340608
2022-07-01 13:49:09,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6947810914020528128
2022-07-01 13:43:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6946128460465475584
2022-06-19 14:45:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6944242848439353344
2022-06-17 02:59:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6943055966246428672
