Company Name,Title,Description,Location,Started On,Finished On
Tata Consultancy Services,Assistant System Engineer,,"Delhi, India",Aug 2021,
The Sparks Foundation, Data Science & Business Analytics,,India,Jan 2021,Feb 2021
Exposys Data Labs,Jr. Data Scientist,,,Oct 2020,Nov 2020
LinuxWorld Informatics Pvt Ltd,MLOPS Training,,,Apr 2020,Jun 2020
Internshala,Internshala Student Partner ,,,Jun 2019,Sep 2019
Internshala,Internshala Student partner ,,Work from home,Jun 2019,Aug 2019
